Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,10uF,Capacitor_603,282.956000,-22.733000,225.000000,bottom
C1,0.1uF,Capacitor_603,296.707000,-25.359000,315.000000,bottom
C2,0.1uF,Capacitor_603,289.026600,-30.403800,225.000000,bottom
C3,0.1uF,Capacitor_603,284.239345,-25.062545,315.000000,bottom
C4,0.1uF,Capacitor_603,293.032000,-17.359000,45.000000,bottom
C5,1uF,Capacitor_603,286.215001,-18.057945,135.000000,bottom
C6,8.2pF,Capacitor_603,299.212000,-21.463000,45.000000,bottom
C7,8.2pF,Capacitor_603,298.704000,-16.891000,315.000000,bottom
D1,D_Small,D_SOD-123,4.582000,-11.809000,90.000000,bottom
D2,D_Small,D_SOD-123,28.432000,-11.809000,90.000000,bottom
D3,D_Small,D_SOD-123,47.482000,-11.809000,90.000000,bottom
D4,D_Small,D_SOD-123,66.532000,-11.809000,90.000000,bottom
D5,D_Small,D_SOD-123,85.582000,-11.809000,90.000000,bottom
D6,D_Small,D_SOD-123,109.382000,-11.811000,90.000000,bottom
D7,D_Small,D_SOD-123,128.432000,-11.809000,90.000000,bottom
D8,D_Small,D_SOD-123,147.482000,-11.809000,90.000000,bottom
D9,D_Small,D_SOD-123,166.532000,-11.809000,90.000000,bottom
D11,D_Small,D_SOD-123,190.332000,-11.809000,90.000000,bottom
D12,D_Small,D_SOD-123,209.382000,-11.759000,90.000000,bottom
D13,D_Small,D_SOD-123,228.432000,-11.759000,90.000000,bottom
D14,D_Small,D_SOD-123,247.482000,-11.809000,90.000000,bottom
D15,D_Small,D_SOD-123,271.332000,-11.809000,90.000000,bottom
D16,D_Small,D_SOD-123,299.932000,-11.809000,90.000000,bottom
D17,D_Small,D_SOD-123,4.632000,-35.687000,90.000000,bottom
D18,D_Small,D_SOD-123,23.682000,-35.687000,90.000000,bottom
D19,D_Small,D_SOD-123,42.732000,-35.687000,90.000000,bottom
D20,D_Small,D_SOD-123,61.782000,-35.687000,90.000000,bottom
D21,D_Small,D_SOD-123,80.832000,-35.687000,90.000000,bottom
D22,D_Small,D_SOD-123,99.882000,-35.687000,90.000000,bottom
D23,D_Small,D_SOD-123,118.932000,-35.687000,90.000000,bottom
D24,D_Small,D_SOD-123,137.982000,-35.687000,90.000000,bottom
D25,D_Small,D_SOD-123,157.032000,-35.687000,90.000000,bottom
D26,D_Small,D_SOD-123,176.082000,-35.687000,90.000000,bottom
D27,D_Small,D_SOD-123,195.132000,-35.687000,90.000000,bottom
D28,D_Small,D_SOD-123,214.182000,-35.687000,90.000000,bottom
D29,D_Small,D_SOD-123,233.232000,-35.687000,90.000000,bottom
D30,D_Small,D_SOD-123,248.882000,-35.687000,90.000000,bottom
D31,D_Small,D_SOD-123,262.382000,-35.687000,90.000000,bottom
D33,D_Small,D_SOD-123,299.882000,-35.687000,90.000000,bottom
D34,D_Small,D_SOD-123,9.382000,-54.709000,90.000000,bottom
D35,D_Small,D_SOD-123,33.182000,-54.709000,90.000000,bottom
D36,D_Small,D_SOD-123,52.232000,-54.709000,90.000000,bottom
D37,D_Small,D_SOD-123,71.282000,-54.737000,90.000000,bottom
D38,D_Small,D_SOD-123,90.382000,-54.709000,90.000000,bottom
D39,D_Small,D_SOD-123,109.382000,-54.737000,90.000000,bottom
D40,D_Small,D_SOD-123,128.432000,-54.737000,90.000000,bottom
D41,D_Small,D_SOD-123,147.482000,-54.737000,90.000000,bottom
D42,D_Small,D_SOD-123,166.532000,-54.737000,90.000000,bottom
D43,D_Small,D_SOD-123,185.582000,-54.737000,90.000000,bottom
D44,D_Small,D_SOD-123,204.632000,-54.737000,90.000000,bottom
D45,D_Small,D_SOD-123,223.682000,-54.737000,90.000000,bottom
D46,D_Small,D_SOD-123,242.732000,-54.737000,90.000000,bottom
D47,D_Small,D_SOD-123,266.582000,-54.737000,90.000000,bottom
D48,D_Small,D_SOD-123,299.882000,-54.609000,90.000000,bottom
D50,D_Small,D_SOD-123,6.982000,-73.787000,90.000000,bottom
D51,D_Small,D_SOD-123,37.932000,-73.787000,90.000000,bottom
D52,D_Small,D_SOD-123,56.982000,-73.787000,90.000000,bottom
D53,D_Small,D_SOD-123,76.032000,-73.787000,90.000000,bottom
D54,D_Small,D_SOD-123,95.082000,-73.787000,90.000000,bottom
D55,D_Small,D_SOD-123,114.132000,-73.787000,90.000000,bottom
D56,D_Small,D_SOD-123,133.182000,-73.787000,90.000000,bottom
D57,D_Small,D_SOD-123,152.232000,-73.787000,90.000000,bottom
D58,D_Small,D_SOD-123,171.332000,-73.759000,90.000000,bottom
D59,D_Small,D_SOD-123,190.382000,-73.787000,90.000000,bottom
D60,D_Small,D_SOD-123,209.432000,-73.759000,90.000000,bottom
D61,D_Small,D_SOD-123,228.432000,-73.759000,90.000000,bottom
D62,D_Small,D_SOD-123,247.482000,-73.809000,90.000000,bottom
D63,D_Small,D_SOD-123,259.382000,-73.787000,90.000000,bottom
D65,D_Small,D_SOD-123,299.882000,-73.787000,90.000000,bottom
D66,D_Small,D_SOD-123,6.982000,-92.837000,90.000000,bottom
D68,D_Small,D_SOD-123,28.432000,-92.837000,90.000000,bottom
D69,D_Small,D_SOD-123,47.482000,-92.837000,90.000000,bottom
D70,D_Small,D_SOD-123,66.532000,-92.837000,90.000000,bottom
D71,D_Small,D_SOD-123,85.582000,-92.809000,90.000000,bottom
D72,D_Small,D_SOD-123,104.632000,-92.837000,90.000000,bottom
D73,D_Small,D_SOD-123,123.682000,-92.859000,90.000000,bottom
D74,D_Small,D_SOD-123,142.782000,-92.809000,90.000000,bottom
D75,D_Small,D_SOD-123,161.832000,-92.837000,90.000000,bottom
D76,D_Small,D_SOD-123,180.832000,-92.837000,90.000000,bottom
D77,D_Small,D_SOD-123,199.882000,-92.809000,90.000000,bottom
D78,D_Small,D_SOD-123,218.982000,-92.837000,90.000000,bottom
D79,D_Small,D_SOD-123,245.132000,-92.837000,90.000000,bottom
D80,D_Small,D_SOD-123,276.082000,-97.559000,90.000000,bottom
D81,D_Small,D_SOD-123,299.882000,-92.837000,90.000000,bottom
D82,D_Small,D_SOD-123,3.810000,-111.887000,90.000000,bottom
D84,D_Small,D_SOD-123,30.759400,-111.836200,90.000000,bottom
D85,D_Small,D_SOD-123,54.559200,-111.861600,90.000000,bottom
D87,D_Small,D_SOD-123,118.872000,-111.887000,90.000000,bottom
D88,D_Small,D_SOD-123,189.992000,-111.887000,90.000000,bottom
D90,D_Small,D_SOD-123,214.182000,-111.887000,90.000000,bottom
D91,D_Small,D_SOD-123,228.432000,-111.887000,90.000000,bottom
D93,D_Small,D_SOD-123,257.032000,-116.709000,90.000000,bottom
D94,D_Small,D_SOD-123,276.082000,-116.709000,90.000000,bottom
D95,D_Small,D_SOD-123,295.132000,-116.709000,90.000000,bottom
J0,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,268.452600,-20.701000,90.000000,bottom
R0,22,Resistor_603,285.137370,-19.135576,135.000000,bottom
R1,22,Resistor_603,284.059739,-20.213207,135.000000,bottom
R2,10K,Resistor_603,291.738847,-16.052153,225.000000,bottom
